6/7/2024,10:53:02,17,1934
6/7/2024,10:53:07,54,4677
6/7/2024,10:53:12,4,322
6/7/2024,10:53:17,11,1361
6/7/2024,10:53:22,212,124614
6/7/2024,10:53:27,485,171417
6/7/2024,10:53:32,1051,485500
6/7/2024,10:53:37,496,260895
6/7/2024,10:53:42,644,344515
6/7/2024,10:53:47,939,636682
6/7/2024,10:53:52,2138,2008577
6/7/2024,10:53:57,4386,4238519
6/7/2024,10:54:02,4685,4453257
6/7/2024,10:54:07,4472,4358551
6/7/2024,10:54:12,1838,1499822
6/7/2024,10:54:17,4680,3881894
6/7/2024,10:54:23,3065,2267751
6/7/2024,10:54:28,1021,781217
6/7/2024,10:54:29,142,81719
